,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
417,The Terminator,1984,8.0,84.0,806649,38.4,107
418,Pink Floyd: The Wall,1982,8.0,47.0,77008,22.24,95
419,Gandhi,1982,8.0,79.0,219628,52.77,191
420,Kagemusha,1980,8.0,84.0,32751,,162
421,Being There,1979,8.0,83.0,66822,30.18,130
422,Annie Hall,1977,8.0,92.0,254273,39.2,93
423,All the President's Men,1976,8.0,84.0,105224,70.6,138
424,Jaws,1975,8.0,87.0,549371,260.0,124
425,Dog Day Afternoon,1975,8.0,86.0,239301,50.0,125
426,Young Frankenstein,1974,8.0,80.0,145294,86.3,106
427,Papillon,1973,8.0,58.0,123378,53.27,151
428,The Exorcist,1973,8.0,81.0,366537,232.91,122
429,Sleuth,1972,8.0,,45238,4.08,138
430,The Last Picture Show,1971,8.0,93.0,43495,29.13,118
431,Fiddler on the Roof,1971,8.0,67.0,40157,80.5,181
432,The Conformist,1970,8.0,100.0,27825,0.54,113
433,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,203825,102.31,110
434,Rosemary's Baby,1968,8.0,96.0,197863,,137
435,Planet of the Apes,1968,8.0,79.0,167101,33.4,112
436,The Graduate,1967,8.0,83.0,256633,104.95,106
437,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,69919,,131
438,The Sound of Music,1965,8.0,63.0,210438,163.21,172
439,Doctor Zhivago,1965,8.0,69.0,70988,111.72,197
440,A Fistful of Dollars,1964,8.0,65.0,201080,14.5,99
441,8½,1963,8.0,91.0,110670,0.05,138
442,Vivre Sa Vie,1962,8.0,,28850,,85
443,The Hustler,1961,8.0,90.0,75923,8.28,134
444,La Dolce Vita,1960,8.0,95.0,67922,19.52,174
445,Rio Bravo,1959,8.0,93.0,57269,12.54,141
446,Anatomy of a Murder,1959,8.0,95.0,60863,11.9,161
447,Touch of Evil,1958,8.0,99.0,99416,2.24,95
448,Cat on a Hot Tin Roof,1958,8.0,84.0,46027,17.57,108
449,The Killing,1956,8.0,91.0,82928,,84
450,The Night of the Hunter,1955,8.0,99.0,83286,0.65,92
451,La Strada,1954,8.0,,59169,,108
452,Stalag 17,1953,8.0,84.0,51503,,120
453,Roman Holiday,1953,8.0,78.0,129214,,118
454,High Noon,1952,8.0,89.0,98584,9.45,85
455,A Streetcar Named Desire,1951,8.0,97.0,100476,8.0,122
456,Strangers on a Train,1951,8.0,88.0,124718,7.63,101
457,In a Lonely Place,1950,8.0,,27584,,94
458,Kind Hearts and Coronets,1949,8.0,,34957,,106
459,Rope,1948,8.0,73.0,131970,,80
460,Out of the Past,1947,8.0,,33479,,97
461,Notorious,1946,8.0,100.0,93474,10.46,102
462,Brief Encounter,1945,8.0,92.0,36622,,86
463,Laura,1944,8.0,,43373,4.36,88
464,Arsenic and Old Lace,1943,8.0,,65813,,118
465,The Maltese Falcon,1941,8.0,96.0,150495,2.11,100
466,The Wizard of Oz,1939,8.0,92.0,374291,2.08,102
